timestamp,symbol,open,high,low,price,volume,latest_trading_day,previous_close,change,change_percent
2025-02-12T18:24:20.216047,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T18:24:20.274897,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T18:24:20.336179,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T18:24:20.409514,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T18:24:20.466730,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T18:24:20.529424,TSLA,345.8,349.37,325.1,328.5,118543400,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T18:24:20.589301,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T18:24:20.653426,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T18:24:20.715210,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T18:24:20.770666,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T19:14:09.133898,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T19:14:09.200524,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T19:14:09.257638,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T19:14:09.307904,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T19:14:09.350520,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T19:14:09.406160,TSLA,345.8,349.37,325.1,328.5,118543400,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T19:14:09.557989,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T19:14:09.614745,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T19:14:09.674005,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T19:14:09.750930,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T20:18:31.014016,AAPL,228.2,235.23,228.13,232.62,53718362,2025-02-11,227.65,4.97,2.1832%
2025-02-12T20:18:31.417708,MSFT,409.64,412.49,409.3,411.44,18140592,2025-02-11,412.22,-0.78,-0.1892%
2025-02-12T20:18:31.957911,GOOG,186.835,188.8,186.08,187.07,13028100,2025-02-11,188.2,-1.13,-0.6004%
2025-02-12T20:18:32.043630,NVDA,132.58,134.48,131.02,132.8,178902379,2025-02-11,133.57,-0.77,-0.5765%
2025-02-12T20:18:32.445585,IBM,251.1,256.75,250.58,254.7,4801550,2025-02-11,249.27,5.43,2.1784%
2025-02-12T20:18:32.518034,TSLA,345.8,349.37,325.1,328.5,118543400,2025-02-11,350.73,-22.23,-6.3382%
2025-02-12T20:18:32.573876,AMZN,231.92,233.44,230.13,232.76,23713726,2025-02-11,233.14,-0.38,-0.1630%
2025-02-12T20:18:32.767296,META,713.32,723.66,710.04,719.8,12997959,2025-02-11,717.4,2.4,0.3345%
2025-02-12T20:18:33.175044,ORCL,177.62,179.12,176.45,177.19,6528766,2025-02-11,178.92,-1.73,-0.9669%
2025-02-12T20:18:33.244776,KO,67.5,67.67,66.41,67.6,30589148,2025-02-11,64.55,3.05,4.7250%
2025-02-12T21:16:00.617933,AAPL,231.0,236.96,230.68,236.87,44966131,2025-02-12,232.62,4.25,1.8270%
